Price,Mileage(miles),Registration_Year,Previous Owners,Engine,Doors,Seats,car_age,Brand_ALFA,Brand_AUDI,Brand_BMW,Brand_CHEVROLET,Brand_CHRYSLER,Brand_CITROEN,Brand_DACIA,Brand_DAEWOO,Brand_DAIHATSU,Brand_DODGE,Brand_DS,Brand_FIAT,Brand_FORD,Brand_HONDA,Brand_HYUNDAI,Brand_INFINITI,Brand_ISUZU,Brand_JAGUAR,Brand_JEEP,Brand_KIA,Brand_LAGONDA,Brand_LAND,Brand_LEXUS,Brand_MARCOS,Brand_MASERATI,Brand_MAZDA,Brand_MERCEDES-BENZ,Brand_MG,Brand_MINI,Brand_MITSUBISHI,Brand_NISSAN,Brand_PEUGEOT,Brand_PORSCHE,Brand_PROTON,Brand_RENAULT,Brand_ROVER,Brand_SAAB,Brand_SEAT,Brand_SKODA,Brand_SMART,Brand_SSANGYONG,Brand_SUBARU,Brand_SUZUKI,Brand_TOYOTA,Brand_VAUXHALL,Brand_VOLKSWAGEN,Brand_VOLVO,Fuel type_Diesel Hybrid,Fuel type_Electric,Fuel type_Petrol,Fuel type_Petrol Hybrid,Fuel type_Petrol Plug-in Hybrid,Body type_Convertible,Body type_Coupe,Body type_Estate,Body type_Hatchback,Body type_MPV,Body type_Minibus,Body type_Pickup,Body type_SUV,Body type_Saloon,Gearbox_Manual,Emission Class_Euro 2,Emission Class_Euro 3,Emission Class_Euro 4,Emission Class_Euro 5,Emission Class_Euro 6
1449,111400,2008,4.0,1.2,5.0,5.0,16,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
3295,94000,2014,3.0,1.4,3.0,5.0,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
1400,155085,2004,2.0,2.4,5.0,5.0,20,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
1950,93000,2012,4.0,1.2,3.0,5.0,12,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
10698,22782,2020,3.0,1.2,5.0,5.0,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
19800,69690,2019,1.0,2.0,4.0,5.0,5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2249,99000,2009,3.0,1.8,5.0,5.0,15,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
1390,127000,2008,3.0,1.6,5.0,5.0,16,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
1795,104020,2010,4.0,1.8,5.0,5.0,14,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
1699,92000,2009,3.0,1.4,5.0,5.0,15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
